"question","answer"
"What are the steps in Data Science?", "The standard data science process involves 1.understanding the problem 2.preparing the data samples 3.developing the model 4.applying the model on a dataset to see how the model may work in the real world 5.deploying and maintaining the models." 
"Name a standard Data Science Process framework","One of the most popular data science process frameworks is Cross Industry Standard Process for Data Mining (CRISP-DM). This framework was developed by a consortium of companies involved in data mining."
"What are the popular Data Science Process frameworks?","The CRISP-DM process is the most widely adopted framework for developing data science solutions. Other data science frameworks are SEMMA, an acronym for Sample, Explore, Modify, Model, and Assess, developed by the SAS Institute. DMAIC, is an acronym for Define, Measure, Analyze, Improve, and Control, used in Six Sigma practice."
"What is required for Data Science and knowledge discovery?","Selection, Preprocessing, Transformation, Data Mining, Interpretation, and Evaluation framework used in the knowledge discovery in databases process."
"Is Data Science difficult?","The steps within the data science process are not linear have to undergo many loops, go back and forth between steps at times go back to the first step to redefine the data science problem statement." 
"Why we use data science?","The fundamental objective of Data Science is to address analysis questions."
"Give me real world example of Data Science application","The usage of Data Science could be a segmentation of customers, a prediction of climate patterns, or a simple data exploration."
"How data science solves real life problems?","By using learning algorithm such as a decision tree, an artificial neural network, or a scatterplot." 
"What is the most important part of data science?","Data preparation the most important part of data science."
"What is the most visible and discussed part of data science?","Data Modeling is the most visible and discussed part of data science."
"What is modeling in data science?","It is the process of building representative models that can be inferred from the sample dataset, which can be used for either predicting ( predictive modeling ) or describing the underlying pattern in the data ( descriptive or explanatory modeling )."
"Why modeling is used in data science?","Modeling is used for either predicting ( predictive modeling ) or describing the underlying pattern in the data ( descriptive or explanatory modeling )."
"What is the  most time-consuming part of the data science process?","The most time-consuming part of the overall data science process is not the model building part, but the preparation of data, followed by data and business understanding." 
"What tools are available for data science?","Libraries such as numpy and pandas, scikit learn, hugginface and kaggle can leverage the data science tasks. Both open source and commercial, available on the market that can automate the model building." 
"How successful data analysis can be performed?","Asking the right business question, gaining in-depth business understanding, sourcing and preparing the data for the data science task, mitigating implementation considerations, integrating the model into the business process, and, most useful of all, gaining knowledge from the dataset." 
"What is prior knowledge in data science?","Prior knowledge refers to information that is already known about a subject." 
"Why prior knowledge is important in data science?","The prior knowledge step in the data science process helps to define what problem is being solved, how it fits in the business context, and what data is needed in order to solve the problem." 
"What prior knowledge are involved in data science?","1.Objective 2.Subject area 3.Data 4.Causation vs Correlation"
"What is objective in data science?","The data science process starts with a need for analysis, a question, or a business objective."
"Explain subject area in data science","It is essential to know the subject matter, the context, and the business process generating the data." 
"Why data preparation so is important in data science?","Understanding how the data is collected, stored, transformed, reported, and used is essential to the data science process."
"Explain the important terms of data science","A dataset (example set) - is a collection of data with a defined structure. A data point (record, object or example) - is a single instance in the dataset. An attribute (feature, input, dimension, variable, or predictor) - is a single property of the dataset. A label (class label, output, prediction, target, or response) - is the special attribute to be predicted based on all the input attributes. Identifiers - are special attributes that are used for locating or providing context to individual records."
"What is dataset?",A dataset (example set) is a collection of data with a defined structure." 
"What is data point?", "A data point (record, object or example) is a single instance in the dataset."
"What is attribute?","An attribute (feature, input, dimension, variable, or predictor) is a single property of the dataset. Attributes can be numeric, categorical, date-time, text, or Boolean data types." 
"What is label?","A label (class label, output, prediction, target, or response) is the special attribute to be predicted based on all the input attributes." 
"What are identifiers?","Identifiers are special attributes that are used for locating or providing context to individual records."
"What is the difference between Causation and Correlation?","The correlation between the input and output attributes doesn’t guarantee causation. Hence, it is important to frame the data science question correctly using the existing domain and data knowledge." 
"Why Data Preparation ia needed?","Most of the data science algorithms would require data to be structured in a tabular format with records in the rows and attributes in the columns."
"How ca we cange data format?","If the data is in any other format, the data would need to be transformed by applying pivot, type conversion, join, or transpose functions, etc., to condition the data into the required structure."
"Tell the steps of data preparation","Data preparation involves: Data Exploration, Data Quality, Missing Values, Data Types and Conversation, Transformation, Outliers, Feature Selection, Data Sampling." 
